District,Season,Soil_Type,Soil_N_kg_ha,Soil_P_kg_ha,Soil_K_kg_ha,Soil_pH,Organic_Carbon_pct,Avg_Temperature_C,Rainfall_mm,Humidity_pct,Primary_Crop
Sri Satya Sai,Kharif,Coastal Sands,29.6,26.8,27.0,7.0,1.03,28.0,1004.5,85.4,Maize
Tirupati,Kharif,Coastal Sands,169.3,93.6,126.4,5.7,0.34,31.4,944.2,47.8,Tobacco
Visakhapatnam,Kharif,Alluvial,49.6,35.5,41.7,7.9,1.05,20.6,682.6,52.4,Pearl Millet
Nellore,Zaid,Laterite,200.3,109.7,146.2,7.4,0.6,27.0,838.3,58.2,Banana
Anantapur,Rabi,Coastal Sands,149.1,86.7,110.7,6.2,0.91,20.1,76.3,77.5,Cotton
Kurnool,Kharif,Red,160.6,90.6,118.2,6.0,0.63,25.6,1007.8,57.6,Sugarcane
Nellore,Rabi,Red,171.9,93.4,126.2,7.9,0.95,26.7,878.5,45.9,Tobacco
NTR,Zaid,Laterite,59.2,41.1,47.4,7.3,0.4,31.2,945.9,80.3,Finger Millet
Sri Satya Sai,Rabi,Coastal Sands,39.6,30.9,34.8,5.5,1.04,31.3,1138.6,77.0,Sorghum
Eluru,Kharif,Red,171.0,94.7,124.2,6.1,0.84,27.7,825.8,45.2,Tobacco
East Godavari,Kharif,Red,240.2,129.9,174.3,5.9,0.61,34.3,1197.5,59.1,Cashew
Vizianagaram,Rabi,Coastal Sands,168.7,96.5,123.0,5.5,0.61,27.2,99.5,83.0,Tobacco
East Godavari,Zaid,Alluvial,21.3,18.8,19.8,8.3,1.1,30.8,1127.3,46.2,Paddy
Parvathipuram Manyam,Rabi,Red,170.0,96.6,125.3,6.9,0.59,25.9,195.8,43.2,Tobacco
Parvathipuram Manyam,Rabi,Coastal Sands,221.0,118.8,161.6,8.1,0.81,26.3,964.5,61.5,Papaya
Krishna,Zaid,Black,209.4,115.5,152.4,5.6,0.68,28.3,791.0,42.9,Mango
Nellore,Zaid,Red,107.8,65.0,81.9,7.9,0.81,34.1,1040.1,44.0,Groundnut
Sri Satya Sai,Kharif,Black,69.7,44.3,55.4,7.4,0.85,22.7,698.5,59.6,Bengal Gram
Vizianagaram,Kharif,Coastal Sands,30.2,25.8,27.1,5.9,0.5,34.5,946.4,50.2,Maize
Anakapalli,Zaid,Black,199.9,110.0,144.8,6.2,0.54,28.9,287.9,85.9,Banana
Nandyal,Rabi,Coastal Sands,190.8,105.1,141.4,5.8,0.72,32.3,711.5,73.0,Turmeric
Nellore,Kharif,Coastal Sands,19.6,20.8,20.3,6.8,0.88,34.8,733.4,72.3,Paddy
Bapatla,Kharif,Coastal Sands,21.4,19.4,21.7,6.4,1.1,21.6,967.3,77.2,Paddy
West Godavari,Zaid,Laterite,179.2,99.8,131.2,8.5,1.1,27.2,212.7,77.7,Chillies
Tirupati,Kharif,Alluvial,81.2,50.4,63.0,7.7,0.73,24.7,895.4,58.1,Red Gram
NTR,Zaid,Black,240.6,130.5,174.9,7.2,0.57,30.2,1036.0,56.7,Cashew
Parvathipuram Manyam,Rabi,Black,40.5,29.7,33.0,6.0,0.31,31.9,538.4,60.9,Sorghum
Vizianagaram,Kharif,Black,70.8,45.3,55.1,6.3,1.11,24.0,963.9,84.5,Bengal Gram
East Godavari,Zaid,Coastal Sands,109.7,63.7,81.7,8.5,0.7,32.6,282.9,52.4,Groundnut
Krishna,Rabi,Black,210.0,115.5,152.5,7.6,0.77,20.2,136.3,53.3,Mango
Alluri Sitharama Raju,Zaid,Alluvial,150.1,84.3,110.1,5.7,0.79,27.3,925.2,61.3,Cotton
Krishna,Zaid,Red,22.4,20.3,20.7,6.3,1.14,23.6,52.8,72.0,Paddy
Eluru,Rabi,Laterite,79.9,47.1,61.9,8.4,0.76,32.5,500.3,54.4,Red Gram
West Godavari,Rabi,Alluvial,218.9,119.4,159.3,7.4,1.04,34.1,651.7,45.5,Papaya
Anakapalli,Kharif,Red,58.4,40.5,47.1,7.1,1.13,24.3,115.6,47.3,Finger Millet
Anakapalli,Rabi,Black,67.0,46.0,55.3,7.6,0.77,20.5,712.2,47.5,Bengal Gram
Annamayya,Rabi,Coastal Sands,91.0,54.8,68.1,6.0,0.65,23.5,207.4,85.3,Green Gram
Prakasam,Kharif,Coastal Sands,170.4,94.7,124.9,6.8,0.89,25.4,1055.4,75.1,Tobacco
Vizianagaram,Kharif,Red,110.5,65.1,83.0,8.3,0.92,20.0,479.0,61.4,Groundnut
Anakapalli,Rabi,Red,230.6,124.2,166.6,5.7,1.11,26.0,727.0,54.6,Oil Palm
Vizianagaram,Zaid,Red,139.5,79.6,104.1,7.4,1.02,28.7,914.9,43.4,Castor
Kurnool,Rabi,Coastal Sands,239.6,129.2,172.5,6.3,0.68,23.2,887.9,45.6,Cashew
NTR,Rabi,Coastal Sands,121.3,68.7,88.2,5.9,0.9,34.2,1161.9,88.9,Sesame
Konaseema,Rabi,Red,149.1,85.3,109.5,7.8,0.97,20.5,588.3,50.0,Cotton
Annamayya,Kharif,Laterite,50.9,34.4,40.6,8.4,1.0,22.4,768.6,59.4,Pearl Millet
Chittoor,Kharif,Coastal Sands,148.8,86.2,110.8,6.8,0.42,30.2,832.8,87.3,Cotton
Bapatla,Zaid,Alluvial,250.0,135.0,182.5,6.0,0.32,32.0,545.5,83.7,Coconut
Chittoor,Rabi,Laterite,140.9,79.8,102.4,6.8,1.16,32.5,1168.6,74.9,Castor
Vizianagaram,Kharif,Laterite,130.3,75.4,96.3,8.2,0.37,34.0,251.3,81.9,Sunflower
Visakhapatnam,Kharif,Alluvial,81.0,50.8,61.8,8.4,0.39,27.6,105.2,57.4,Red Gram
Eluru,Rabi,Red,220.7,119.8,160.0,6.5,0.31,26.6,755.7,41.2,Papaya
East Godavari,Rabi,Laterite,210.7,115.8,152.5,8.4,0.98,32.8,328.1,62.0,Mango
Eluru,Zaid,Alluvial,68.8,45.0,57.1,5.9,0.44,27.8,601.9,77.5,Bengal Gram
Eluru,Rabi,Alluvial,229.7,125.1,169.3,7.6,0.47,27.4,1138.2,65.2,Oil Palm
NTR,Rabi,Coastal Sands,51.5,34.6,40.5,7.3,0.72,28.2,543.2,76.1,Pearl Millet
West Godavari,Rabi,Red,129.8,74.9,97.0,6.6,0.8,32.8,536.9,45.9,Sunflower
Parvathipuram Manyam,Kharif,Alluvial,131.1,76.8,98.4,8.1,0.34,22.7,190.3,87.8,Sunflower
NTR,Kharif,Red,121.9,71.6,91.1,7.1,0.69,27.2,1057.9,68.6,Sesame
Alluri Sitharama Raju,Kharif,Black,31.9,25.5,26.1,7.7,0.76,27.6,963.0,45.2,Maize
NTR,Rabi,Black,249.1,134.5,181.1,8.4,0.65,23.6,530.5,50.7,Coconut
Alluri Sitharama Raju,Zaid,Red,191.7,105.7,138.1,7.8,0.56,28.9,512.5,59.5,Turmeric
Eluru,Rabi,Alluvial,29.5,24.2,29.7,6.5,0.78,32.6,668.0,62.8,Maize
West Godavari,Zaid,Laterite,149.5,84.7,111.0,7.8,1.02,26.3,911.7,83.0,Cotton
Annamayya,Kharif,Laterite,249.9,134.8,181.3,6.8,1.08,22.7,177.5,56.1,Coconut
Sri Satya Sai,Kharif,Laterite,209.1,113.3,152.7,8.4,0.69,31.3,1134.0,53.8,Mango
Annamayya,Kharif,Red,249.3,134.2,180.8,6.5,0.59,29.7,236.4,88.7,Coconut
Kurnool,Zaid,Black,220.1,118.9,162.2,8.0,0.47,28.5,1144.7,88.7,Papaya
Srikakulam,Kharif,Laterite,191.8,105.2,138.2,5.7,0.8,34.7,281.4,70.9,Turmeric
Alluri Sitharama Raju,Zaid,Red,210.1,115.1,153.0,8.3,0.62,27.7,428.9,46.6,Mango
Eluru,Rabi,Coastal Sands,128.6,76.3,95.5,7.3,0.65,33.9,834.9,52.2,Sunflower
Eluru,Kharif,Red,140.5,80.9,104.3,6.4,0.86,29.3,712.4,59.5,Castor
Tirupati,Zaid,Alluvial,259.9,139.8,189.5,7.5,0.39,33.0,993.0,70.7,Vegetables
Annamayya,Kharif,Coastal Sands,250.2,135.8,178.1,7.5,0.83,33.1,999.0,43.5,Coconut
Srikakulam,Zaid,Alluvial,230.7,127.3,167.1,7.4,0.51,21.5,938.3,46.9,Oil Palm
Srikakulam,Kharif,Alluvial,59.2,37.9,46.0,6.4,0.58,35.0,84.9,56.2,Finger Millet
Guntur,Rabi,Black,81.3,49.1,61.1,8.1,1.14,23.0,827.6,68.7,Red Gram
Kakinada,Kharif,Laterite,100.6,60.5,76.3,7.2,0.73,26.1,632.6,65.2,Black Gram
Palnadu,Zaid,Alluvial,150.0,84.9,110.6,6.4,1.15,30.5,914.5,42.5,Cotton
Sri Satya Sai,Kharif,Red,179.0,99.1,132.8,5.6,0.59,25.5,1083.3,53.9,Chillies
Guntur,Rabi,Laterite,128.8,75.6,97.9,6.0,1.19,22.2,602.0,53.5,Sunflower
Anakapalli,Rabi,Black,99.1,58.7,76.7,6.3,0.43,31.9,281.0,64.0,Black Gram
West Godavari,Rabi,Alluvial,180.7,99.8,130.8,5.5,1.12,23.8,1140.3,77.4,Chillies
Visakhapatnam,Zaid,Laterite,179.2,100.4,133.6,5.7,0.61,23.9,110.7,52.0,Chillies
Bapatla,Zaid,Red,110.2,64.9,83.8,6.6,0.73,25.3,900.8,58.9,Groundnut
Kurnool,Zaid,Red,169.9,97.9,124.7,6.9,0.93,22.6,230.7,64.3,Tobacco
Guntur,Zaid,Alluvial,31.3,24.4,27.9,8.2,0.67,34.1,441.9,73.9,Maize
Srikakulam,Zaid,Coastal Sands,69.4,45.0,56.1,5.6,1.14,31.7,1150.8,58.9,Bengal Gram
Visakhapatnam,Rabi,Laterite,259.9,138.1,187.3,5.8,0.53,28.3,660.6,65.0,Vegetables
Kurnool,Kharif,Alluvial,120.9,69.9,92.2,7.1,1.05,31.3,992.0,84.3,Sesame
Anakapalli,Zaid,Alluvial,61.0,41.1,48.8,6.2,0.79,34.9,620.7,76.7,Finger Millet
Kurnool,Zaid,Laterite,200.3,109.5,146.7,8.0,0.97,27.8,1166.4,76.8,Oil Palm
Kurnool,Kharif,Red,160.9,90.4,118.0,7.1,1.09,34.2,587.9,52.2,Sugarcane
Kurnool,Kharif,Black,239.7,129.8,175.5,8.5,0.87,30.4,558.1,50.8,Cashew
Nellore,Kharif,Alluvial,90.9,53.0,70.3,6.5,0.47,32.5,1198.1,58.9,Green Gram
East Godavari,Rabi,Black,260.9,140.1,188.7,8.1,1.17,33.7,572.9,73.1,Vegetables
Palnadu,Zaid,Black,120.8,67.2,91.1,7.1,0.55,28.1,292.8,73.8,Sesame
Konaseema,Zaid,Coastal Sands,120.6,68.5,90.8,7.9,0.7,29.3,1187.5,66.2,Sesame
Bapatla,Rabi,Laterite,162.1,89.5,119.4,5.7,0.92,31.6,736.5,89.5,Sugarcane
NTR,Zaid,Red,70.3,44.6,54.3,7.6,0.44,34.7,79.8,54.8,Bengal Gram
Vizianagaram,Rabi,Alluvial,129.0,74.4,97.1,7.7,0.57,31.9,66.0,73.8,Sunflower
Eluru,Rabi,Alluvial,81.8,51.1,60.7,8.3,1.02,21.8,449.4,63.3,Red Gram
Vizianagaram,Zaid,Red,169.8,96.4,124.9,8.1,0.81,26.3,728.3,84.9,Tobacco
Anakapalli,Kharif,Black,209.3,114.5,152.4,8.2,1.09,24.9,631.5,74.5,Mango
Krishna,Zaid,Laterite,19.1,20.8,20.0,7.6,0.3,27.1,934.6,48.7,Paddy
NTR,Rabi,Alluvial,60.0,40.5,45.0,5.6,0.69,23.3,813.5,59.5,Finger Millet
Annamayya,Rabi,Red,209.9,114.1,153.2,7.8,1.12,28.5,687.3,67.0,Mango
Guntur,Zaid,Coastal Sands,109.1,65.2,81.8,6.5,0.92,27.8,222.4,41.9,Groundnut
Srikakulam,Zaid,Black,200.7,108.9,147.3,7.5,0.6,31.0,824.8,85.5,Banana
Anakapalli,Rabi,Black,150.5,85.0,112.4,6.3,0.44,20.6,866.3,75.0,Cotton
Vizianagaram,Rabi,Laterite,70.2,44.6,54.1,7.8,0.38,29.8,144.0,58.5,Bengal Gram
Srikakulam,Rabi,Laterite,119.0,69.0,90.9,6.5,1.13,33.3,661.4,50.0,Sesame
Nellore,Zaid,Laterite,90.9,53.0,68.6,5.6,0.84,29.5,511.4,66.3,Green Gram
NTR,Rabi,Alluvial,120.1,70.3,89.4,6.5,0.83,25.3,551.8,64.0,Sesame
Bapatla,Zaid,Coastal Sands,162.0,90.8,116.3,7.0,0.44,25.5,1154.6,79.2,Sugarcane
Prakasam,Zaid,Black,239.2,131.7,174.1,7.1,0.48,21.6,579.7,62.6,Cashew
Nandyal,Rabi,Coastal Sands,59.4,39.4,47.6,6.2,0.64,31.8,600.2,60.8,Finger Millet
Srikakulam,Kharif,Laterite,128.8,74.1,98.8,5.9,0.87,25.4,83.2,82.9,Sunflower
East Godavari,Kharif,Red,179.4,98.0,132.5,7.1,0.55,26.7,1148.1,43.3,Chillies
Nandyal,Zaid,Laterite,210.4,114.6,153.2,8.3,0.63,30.4,161.8,69.4,Mango
Guntur,Rabi,Laterite,81.1,48.6,62.2,6.3,0.33,29.9,427.1,74.3,Red Gram
Visakhapatnam,Rabi,Laterite,49.7,34.5,40.6,8.0,0.46,25.0,209.5,74.8,Pearl Millet
Prakasam,Zaid,Laterite,160.5,90.6,117.4,7.6,1.06,26.8,788.4,75.5,Sugarcane
Krishna,Rabi,Red,80.0,51.5,61.2,6.1,0.46,32.7,483.0,77.1,Red Gram
Anakapalli,Zaid,Coastal Sands,259.6,138.8,190.1,6.9,0.85,34.3,372.8,60.7,Vegetables
Kurnool,Kharif,Coastal Sands,188.8,105.1,137.3,6.9,0.9,21.2,380.9,80.4,Turmeric
East Godavari,Kharif,Alluvial,241.0,129.7,173.7,8.0,0.76,34.4,762.1,64.1,Cashew
Vizianagaram,Zaid,Black,210.8,115.3,152.7,5.5,1.14,23.1,673.3,85.7,Mango
Alluri Sitharama Raju,Zaid,Coastal Sands,80.3,50.7,63.3,6.4,0.91,25.3,639.9,67.6,Red Gram
Kakinada,Zaid,Red,170.0,95.5,125.2,7.7,0.72,30.3,571.3,78.6,Tobacco
Annamayya,Rabi,Laterite,150.4,86.6,111.7,7.7,0.53,30.3,301.6,53.2,Cotton
Alluri Sitharama Raju,Rabi,Red,119.6,69.6,90.2,6.7,0.58,28.8,1111.0,50.0,Sesame
Anantapur,Rabi,Alluvial,120.0,72.1,89.2,7.8,1.05,21.9,594.4,44.6,Sesame
West Godavari,Zaid,Alluvial,59.3,41.0,48.5,6.2,0.55,33.7,636.1,60.3,Finger Millet
Visakhapatnam,Rabi,Red,210.6,112.8,153.6,6.6,0.79,24.9,183.7,67.3,Mango
Alluri Sitharama Raju,Rabi,Alluvial,211.0,114.4,152.5,7.8,0.43,31.1,261.6,59.6,Mango
Anakapalli,Zaid,Black,249.2,134.1,180.6,6.2,0.59,32.1,331.1,60.5,Coconut
Chittoor,Rabi,Alluvial,169.3,96.5,125.5,7.4,1.1,26.4,453.3,54.2,Tobacco
Bapatla,Kharif,Laterite,222.0,120.0,160.3,6.1,0.5,21.0,844.1,54.8,Papaya
Sri Satya Sai,Rabi,Coastal Sands,51.0,34.1,39.6,7.4,0.64,29.0,86.0,57.8,Pearl Millet
Annamayya,Zaid,Black,50.4,34.3,40.0,5.6,1.17,20.8,93.8,60.1,Pearl Millet
Visakhapatnam,Zaid,Black,182.1,100.8,132.9,7.9,0.74,21.2,768.6,66.2,Chillies
NTR,Rabi,Red,239.7,131.3,174.2,6.0,0.89,29.0,985.2,75.7,Cashew
Nellore,Kharif,Coastal Sands,38.3,30.1,32.8,5.9,1.05,24.0,657.0,47.1,Sorghum
East Godavari,Zaid,Red,229.1,121.8,165.7,6.5,0.56,33.0,661.1,53.0,Oil Palm
Bapatla,Kharif,Alluvial,30.6,24.8,25.9,8.3,1.19,25.0,109.6,52.8,Maize
East Godavari,Kharif,Red,28.4,24.3,26.7,7.9,0.51,33.3,864.8,62.5,Maize
West Godavari,Kharif,Laterite,239.4,129.4,174.2,6.2,0.64,30.5,83.2,71.3,Cashew
Eluru,Rabi,Coastal Sands,49.4,36.0,40.5,6.6,1.0,23.7,261.2,87.6,Pearl Millet
Sri Satya Sai,Rabi,Laterite,199.6,108.5,145.7,7.1,0.47,31.7,798.1,76.3,Banana
West Godavari,Zaid,Black,210.4,114.9,153.0,6.6,1.01,27.9,1006.6,67.6,Mango
Annamayya,Zaid,Black,89.9,53.3,70.3,5.5,0.38,29.0,447.1,87.5,Green Gram
Konaseema,Kharif,Black,70.3,44.9,54.7,7.5,1.14,32.9,968.6,51.6,Bengal Gram
Nandyal,Kharif,Coastal Sands,258.3,142.8,187.7,7.2,0.91,30.0,680.4,55.8,Vegetables
Nandyal,Rabi,Laterite,79.3,47.7,62.3,6.1,0.38,31.6,452.1,87.3,Red Gram
Anakapalli,Kharif,Laterite,60.6,39.7,45.9,6.2,0.83,28.2,364.1,81.9,Finger Millet
West Godavari,Zaid,Black,121.3,69.0,91.5,8.2,0.67,27.0,864.1,88.5,Sesame
Nandyal,Rabi,Black,188.3,104.4,139.1,7.0,0.86,25.6,711.3,52.9,Turmeric
West Godavari,Kharif,Alluvial,109.9,64.1,83.2,5.8,0.65,26.4,314.7,42.2,Groundnut
Kakinada,Rabi,Alluvial,60.3,40.4,48.2,6.9,0.64,23.3,701.5,42.4,Finger Millet
Bapatla,Rabi,Black,139.9,79.4,103.1,6.0,0.79,27.1,575.6,50.1,Castor
West Godavari,Rabi,Coastal Sands,78.9,50.5,60.9,8.5,0.78,33.5,827.4,83.8,Red Gram
Anantapur,Zaid,Black,259.3,141.3,187.9,5.8,0.85,23.7,693.0,64.1,Vegetables
Anantapur,Rabi,Black,20.9,19.9,19.6,6.3,0.82,32.0,1188.0,56.0,Paddy
Nellore,Rabi,Alluvial,188.9,102.9,138.8,7.8,0.45,21.8,649.4,66.0,Turmeric
East Godavari,Rabi,Black,20.2,19.9,21.3,6.6,0.3,20.4,516.2,41.3,Paddy
Kadapa,Zaid,Black,230.0,124.4,166.6,7.2,0.52,34.7,750.5,87.8,Oil Palm
Nandyal,Kharif,Red,41.8,30.9,33.0,8.1,0.44,33.8,110.2,53.4,Sorghum
Guntur,Rabi,Coastal Sands,217.0,120.4,161.1,6.1,1.19,26.6,873.4,88.1,Papaya
Anantapur,Rabi,Red,250.0,131.6,181.6,7.9,0.43,25.1,601.6,61.7,Coconut
Prakasam,Zaid,Coastal Sands,70.4,45.5,56.0,5.8,1.04,27.9,1020.9,87.3,Bengal Gram
Vizianagaram,Rabi,Coastal Sands,98.8,59.2,76.0,7.4,0.6,34.1,490.4,58.7,Black Gram
Konaseema,Rabi,Red,128.9,74.6,96.7,7.8,1.19,31.2,1168.2,51.5,Sunflower
Palnadu,Rabi,Red,250.4,134.4,180.6,5.9,0.42,26.9,673.1,85.7,Coconut
Palnadu,Kharif,Black,158.6,90.5,118.6,5.8,0.86,33.6,684.3,48.9,Sugarcane
Palnadu,Kharif,Alluvial,179.6,100.6,130.7,7.3,0.62,34.8,807.8,54.0,Chillies
Annamayya,Rabi,Coastal Sands,221.0,119.1,160.1,6.7,0.76,26.9,708.0,60.9,Papaya
Konaseema,Kharif,Black,68.5,44.2,54.0,8.4,0.33,27.9,1004.4,76.5,Bengal Gram
Chittoor,Rabi,Laterite,111.1,65.2,83.6,8.0,0.4,24.0,847.5,83.4,Groundnut
Tirupati,Rabi,Laterite,20.4,20.0,20.4,7.0,0.81,23.4,233.1,83.9,Paddy
Guntur,Rabi,Laterite,100.1,60.5,75.9,6.1,1.05,28.9,1004.0,78.5,Black Gram
Eluru,Rabi,Coastal Sands,239.9,131.6,173.9,6.3,0.37,21.2,869.6,78.4,Cashew
Parvathipuram Manyam,Kharif,Laterite,201.2,111.3,145.2,6.6,0.47,33.3,717.6,48.9,Banana
Kakinada,Kharif,Laterite,129.7,74.8,96.9,6.3,0.72,20.9,674.0,57.8,Sunflower
Bapatla,Kharif,Black,220.3,119.0,161.1,5.8,1.19,20.4,890.9,67.9,Papaya
Konaseema,Rabi,Alluvial,41.1,29.9,32.6,7.4,0.33,33.4,389.9,56.9,Sorghum
East Godavari,Rabi,Laterite,30.0,24.4,27.8,5.9,1.05,24.3,990.4,62.8,Maize
Tirupati,Rabi,Coastal Sands,100.8,58.6,74.6,6.7,0.55,23.9,112.9,56.6,Black Gram
Guntur,Zaid,Coastal Sands,49.2,36.8,42.3,8.4,1.08,31.5,948.7,71.1,Pearl Millet
Krishna,Zaid,Black,40.0,30.3,33.9,6.2,0.77,21.7,329.4,65.7,Sorghum
Tirupati,Rabi,Red,178.6,99.9,132.4,7.7,1.1,27.2,1035.1,70.9,Chillies
Parvathipuram Manyam,Kharif,Red,30.6,24.1,28.6,6.5,0.9,33.0,216.1,62.3,Maize
Palnadu,Rabi,Black,41.0,29.2,33.0,6.9,0.72,22.8,278.1,69.2,Sorghum
Bapatla,Kharif,Alluvial,32.0,23.8,26.7,7.8,1.04,25.6,338.1,44.6,Maize
Prakasam,Zaid,Coastal Sands,198.8,109.8,147.5,6.5,1.07,20.9,358.5,43.7,Banana
Tirupati,Zaid,Red,20.6,18.8,20.4,6.5,0.73,23.6,166.6,89.3,Paddy
Konaseema,Kharif,Red,80.9,51.5,61.8,8.3,0.82,21.8,321.1,74.3,Red Gram
Kurnool,Zaid,Laterite,259.9,138.7,187.8,6.5,1.02,21.8,670.3,74.2,Vegetables
NTR,Rabi,Red,180.8,100.2,131.5,5.6,0.87,25.3,811.3,82.2,Chillies
Visakhapatnam,Rabi,Black,210.4,113.5,153.2,8.3,1.09,28.3,581.3,84.0,Mango
Nellore,Zaid,Alluvial,120.9,70.3,89.0,7.1,0.79,28.7,1159.1,89.3,Sesame
Palnadu,Kharif,Laterite,47.8,34.7,40.0,5.6,0.33,29.1,1129.8,63.1,Pearl Millet
Annamayya,Rabi,Alluvial,181.0,100.4,133.9,8.2,1.08,20.5,329.7,59.2,Chillies
West Godavari,Kharif,Black,209.4,113.2,152.0,6.4,0.41,31.1,794.7,53.9,Mango
Chittoor,Kharif,Coastal Sands,28.9,23.9,27.0,6.2,0.67,22.8,1129.4,84.0,Maize
Prakasam,Kharif,Alluvial,150.4,85.7,110.7,7.3,0.91,23.9,945.6,76.9,Cotton
Palnadu,Rabi,Laterite,239.4,129.7,175.4,5.7,1.16,25.7,1034.8,71.7,Cashew
Srikakulam,Zaid,Laterite,188.5,105.8,140.2,6.7,0.96,29.8,90.2,41.7,Turmeric
Palnadu,Rabi,Alluvial,42.6,30.7,35.2,8.2,0.46,34.2,399.3,45.2,Sorghum
NTR,Kharif,Red,109.1,62.8,82.2,6.8,0.76,20.5,811.8,52.5,Groundnut
West Godavari,Zaid,Coastal Sands,48.0,36.0,40.1,6.8,0.85,31.8,575.8,58.9,Pearl Millet
East Godavari,Kharif,Coastal Sands,18.9,19.4,19.0,7.6,0.87,26.5,977.4,85.2,Paddy
Visakhapatnam,Rabi,Alluvial,190.6,104.9,137.5,7.8,0.82,34.4,224.1,64.6,Turmeric
Parvathipuram Manyam,Kharif,Coastal Sands,99.9,59.2,75.2,6.4,0.68,33.2,624.2,47.1,Black Gram
Nellore,Rabi,Black,250.7,135.6,181.4,5.8,0.6,26.5,185.8,62.4,Coconut
Konaseema,Zaid,Laterite,67.8,44.4,54.8,7.0,0.39,31.6,583.2,76.1,Bengal Gram
Sri Satya Sai,Rabi,Coastal Sands,49.8,35.3,41.2,7.0,0.71,30.6,106.5,60.0,Pearl Millet
NTR,Rabi,Coastal Sands,110.1,62.7,84.6,7.3,0.49,28.3,563.8,56.2,Oil Palm
Bapatla,Rabi,Red,251.2,134.5,183.1,5.7,1.17,24.8,682.4,66.6,Coconut
Visakhapatnam,Zaid,Red,98.9,60.5,75.6,5.9,0.85,28.6,687.6,49.5,Black Gram
Annamayya,Kharif,Red,259.2,140.6,187.3,6.2,0.5,20.6,837.6,71.2,Vegetables
West Godavari,Kharif,Red,121.2,69.3,87.6,5.9,0.38,30.4,1069.6,84.8,Sesame
Kadapa,Kharif,Red,100.8,61.2,76.6,8.3,0.89,23.2,992.6,44.6,Black Gram
NTR,Zaid,Laterite,89.6,54.2,69.5,6.4,0.71,31.8,561.1,56.5,Green Gram
Bapatla,Rabi,Laterite,229.9,125.2,167.9,6.8,0.86,31.3,127.0,72.5,Oil Palm
Eluru,Rabi,Black,220.4,120.0,159.5,8.4,0.36,28.3,660.9,45.6,Papaya
Anantapur,Rabi,Coastal Sands,117.4,70.4,90.3,6.3,0.99,22.4,429.9,42.1,Sesame
Nandyal,Kharif,Alluvial,99.8,58.3,77.3,6.5,0.41,33.0,882.9,60.4,Black Gram
Parvathipuram Manyam,Zaid,Red,248.7,134.2,180.2,7.3,0.33,31.4,880.6,49.2,Castor
Kadapa,Kharif,Black,240.7,130.7,172.7,5.8,0.62,23.0,204.1,49.8,Cashew
Anantapur,Zaid,Red,179.2,101.7,134.0,7.7,0.9,22.4,1161.6,70.1,Chillies
Eluru,Zaid,Coastal Sands,128.0,76.5,95.1,6.3,0.62,23.8,130.0,76.0,Sunflower
Srikakulam,Kharif,Black,49.7,35.8,40.6,7.2,0.35,24.1,261.1,81.0,Pearl Millet
Visakhapatnam,Zaid,Laterite,221.5,117.9,161.1,7.2,0.47,32.1,1196.0,62.3,Papaya
Kakinada,Rabi,Black,200.0,110.5,146.3,8.4,0.36,29.8,232.8,44.9,Banana
Vizianagaram,Kharif,Red,98.4,61.2,75.4,7.9,0.46,26.8,82.2,41.4,Black Gram
Visakhapatnam,Kharif,Red,227.8,126.0,167.2,7.7,0.42,21.4,436.9,86.0,Oil Palm
Konaseema,Kharif,Coastal Sands,108.8,64.3,82.8,7.9,0.91,27.6,413.5,73.9,Groundnut
Bapatla,Zaid,Red,81.2,48.6,61.7,7.6,1.13,24.5,485.5,43.0,Red Gram
Alluri Sitharama Raju,Kharif,Red,129.1,74.7,95.6,8.2,1.18,26.1,917.7,51.9,Sunflower
Eluru,Zaid,Red,199.9,109.4,145.3,6.4,0.84,22.8,586.3,56.8,Banana
Konaseema,Zaid,Alluvial,159.6,88.8,117.8,8.0,0.89,25.9,194.4,55.3,Sugarcane
Tirupati,Zaid,Alluvial,97.8,59.0,75.6,6.8,0.3,33.6,1094.2,64.8,Black Gram
Parvathipuram Manyam,Zaid,Coastal Sands,261.0,139.3,187.3,5.7,0.85,32.3,661.4,51.4,Vegetables
Anakapalli,Kharif,Black,21.6,19.6,20.5,7.2,0.57,26.4,161.5,59.4,Paddy
Srikakulam,Rabi,Black,228.7,124.8,168.7,7.1,0.31,22.6,404.4,44.4,Oil Palm
Vizianagaram,Rabi,Coastal Sands,30.2,24.8,27.3,7.7,0.78,23.7,358.5,67.0,Maize
Kakinada,Zaid,Black,40.6,29.7,34.0,8.2,0.6,25.3,465.8,73.1,Sorghum
Anantapur,Kharif,Black,139.8,80.2,104.0,5.7,0.98,30.7,401.7,67.7,Castor
Vizianagaram,Zaid,Laterite,240.3,131.0,174.4,7.1,1.07,22.9,350.4,62.6,Cashew
Guntur,Kharif,Coastal Sands,69.9,43.4,55.4,7.5,1.17,34.1,378.7,53.1,Bengal Gram
Chittoor,Rabi,Laterite,40.0,29.2,33.2,8.1,0.68,33.7,716.8,89.1,Sorghum
Guntur,Kharif,Laterite,37.0,29.8,33.4,6.5,0.97,24.1,695.9,77.8,Sorghum
Annamayya,Kharif,Alluvial,90.2,54.9,70.8,7.3,0.43,30.1,310.2,49.8,Green Gram
Sri Satya Sai,Zaid,Red,150.5,84.9,110.9,8.4,0.59,22.2,778.0,88.1,Cotton
Kakinada,Zaid,Alluvial,199.9,106.7,146.7,8.2,0.75,22.3,240.5,44.5,Banana
